Wavelength_(nm),Sum,Fe_I_(2.2e-02),Fe_II_(4.8e-01),Fe_III_(1.1e-03),W_I_(2.3e-02),W_II_(4.8e-01),W_III_(1.4e-03)
256.1,33240.0,236.7,24140.0,0.0,984.5,7882.0,0.029
256.3,33250.0,145.5,24410.0,0.0,785.4,7910.0,0.055
256.5,32780.0,95.39,24070.0,0.0,622.3,7991.0,0.095
256.7,31890.0,75.29,23210.0,0.0,500.8,8099.0,0.155
257.0,30290.0,82.99,21670.0,0.0,396.4,8141.0,0.282
257.2,29580.0,104.7,21130.0,0.0,371.5,7975.0,0.385
257.4,29650.0,134.3,21510.0,0.0,371.5,7627.0,0.49
257.6,30820.0,167.9,23120.0,0.0,384.2,7144.0,0.583
257.8,33330.0,201.1,26110.0,0.0,396.7,6616.0,0.647
258.0,37300.0,229.6,30540.0,0.0,398.9,6138.0,0.67
258.2,42800.0,249.4,36390.0,0.0,385.5,5771.0,0.647
258.4,49860.0,257.9,43720.0,0.0,357.1,5529.0,0.584
258.6,58520.0,254.7,52570.0,0.0,320.1,5374.0,0.493
258.8,68680.0,242.0,62910.0,0.0,284.1,5245.0,0.391
259.0,80030.0,224.1,74470.0,0.0,259.3,5079.0,0.293
259.3,97650.0,199.2,92510.0,0.0,259.3,4683.0,0.182
259.5,108100.0,190.1,103300.0,0.0,288.2,4311.0,0.138
259.7,116000.0,189.4,111600.0,0.0,337.4,3873.0,0.119
259.9,120400.0,196.1,116400.0,0.0,400.6,3395.0,0.12
260.1,120900.0,207.4,117300.0,0.0,468.9,2907.0,0.133
260.3,117900.0,219.3,114700.0,0.0,533.4,2430.0,0.152
260.5,112200.0,228.1,109400.0,0.0,585.9,1985.0,0.169
260.7,105000.0,231.8,102500.0,0.0,620.1,1586.0,0.179
260.9,97200.0,229.7,95100.0,0.0,632.1,1244.0,0.178
261.1,89630.0,223.2,87820.0,0.0,620.8,967.2,0.166
261.3,82710.0,214.5,81150.0,0.0,587.9,755.7,0.145
261.5,76710.0,205.8,75360.0,0.0,538.0,604.0,0.118
261.8,69890.0,196.3,68790.0,0.0,448.2,462.9,0.077
262.0,66960.0,192.7,65970.0,0.0,391.6,405.0,0.053
262.2,65150.0,190.3,64250.0,0.0,347.3,359.7,0.034
262.4,64020.0,188.3,63190.0,0.0,320.4,317.4,0.02
262.6,62860.0,186.0,62080.0,0.0,311.7,274.0,0.012
262.8,60860.0,183.0,60130.0,0.0,317.4,231.1,0.006
263.0,57400.0,179.2,56690.0,0.0,331.3,195.5,0.003
263.2,52190.0,174.8,51490.0,0.0,346.3,178.5,0.001
263.4,45440.0,169.4,44720.0,0.0,357.9,195.8,0.001
263.6,37730.0,162.7,36940.0,0.0,365.0,268.2,0.0
263.8,29880.0,154.4,28930.0,0.0,370.9,421.8,0.0
264.0,22670.0,144.4,21450.0,0.0,382.2,686.4,0.0
264.3,14310.0,126.7,12400.0,0.0,426.8,1354.0,0.0
264.5,10720.0,114.1,8125.0,0.0,484.3,2000.0,0.0
264.7,8647.0,102.0,5185.0,0.0,566.9,2793.0,0.0
264.9,7808.0,91.61,3362.0,0.0,671.0,3683.0,0.0
265.1,7847.0,83.92,2394.0,0.0,788.1,4581.0,0.0
265.3,8400.0,79.63,2035.0,0.0,905.4,5379.0,0.0
265.5,9140.0,79.11,2087.0,0.0,1009.0,5966.0,0.0
265.7,9814.0,82.32,2390.0,0.0,1087.0,6255.0,0.0
265.9,10250.0,88.85,2817.0,0.0,1132.0,6210.0,0.001
266.1,10350.0,97.97,3255.0,0.0,1147.0,5852.0,0.002
266.3,10110.0,108.8,3608.0,0.0,1140.0,5255.0,0.005
266.5,9572.0,120.3,3806.0,0.0,1122.0,4523.0,0.009
266.8,8395.0,137.3,3745.0,0.0,1106.0,3407.0,0.022
267.0,7523.0,147.5,3494.0,0.0,1116.0,2766.0,0.035
267.2,6698.0,156.4,3144.0,0.0,1143.0,2255.0,0.053
267.4,5995.0,163.6,2775.0,0.0,1179.0,1877.0,0.076
267.6,5458.0,168.5,2460.0,0.0,1213.0,1617.0,0.101
267.8,5099.0,170.7,2247.0,0.0,1229.0,1453.0,0.126
268.0,4913.0,169.5,2153.0,0.0,1218.0,1373.0,0.148
268.2,4884.0,165.0,2167.0,0.0,1173.0,1379.0,0.163
268.4,4998.0,157.6,2259.0,0.0,1100.0,1482.0,0.168
268.6,5245.0,148.2,2392.0,0.0,1009.0,1696.0,0.163
268.8,5610.0,138.7,2536.0,0.0,914.0,2021.0,0.148
269.0,6072.0,131.5,2678.0,0.0,828.0,2434.0,0.126
269.3,6867.0,132.5,2900.0,0.0,730.1,3104.0,0.088
269.5,7402.0,147.7,3090.0,0.0,685.0,3480.0,0.064
269.7,7904.0,181.5,3355.0,0.0,650.8,3717.0,0.044
269.9,8365.0,241.5,3730.0,0.0,623.4,3770.0,0.028
270.1,8812.0,336.8,4240.0,0.0,602.9,3633.0,0.017
270.3,9290.0,477.3,4884.0,0.0,594.7,3333.0,0.009
270.5,9848.0,672.4,5638.0,0.0,609.3,2929.0,0.005
270.7,10520.0,927.0,6447.0,0.0,658.3,2484.0,0.003
270.9,11290.0,1238.0,7246.0,0.0,750.4,2057.0,0.002
271.1,12140.0,1591.0,7975.0,0.0,887.1,1684.0,0.003
271.3,13000.0,1958.0,8606.0,0.0,1060.0,1380.0,0.007
271.5,13850.0,2300.0,9160.0,0.0,1250.0,1139.0,0.013
271.8,15100.0,2678.0,10050.0,0.0,1508.0,862.2,0.033
272.0,16060.0,2798.0,10930.0,0.0,1619.0,710.2,0.058
272.2,17320.0,2802.0,12290.0,0.0,1655.0,572.7,0.095
272.4,19140.0,2706.0,14380.0,0.0,1607.0,446.6,0.146
272.6,21840.0,2544.0,17480.0,0.0,1479.0,334.0,0.211
272.8,25740.0,2355.0,21860.0,0.0,1289.0,238.0,0.287
273.0,31110.0,2173.0,27720.0,0.0,1062.0,161.4,0.366
273.2,38100.0,2017.0,35150.0,0.0,827.3,105.1,0.441
273.4,46640.0,1894.0,44070.0,0.0,608.8,68.67,0.498
273.6,56420.0,1795.0,54150.0,0.0,423.2,51.8,0.53
273.8,66840.0,1707.0,64790.0,0.0,278.3,56.25,0.53
274.0,77080.0,1615.0,75200.0,0.0,174.0,88.1,0.498
274.3,90070.0,1455.0,88310.0,0.0,82.25,216.0,0.405
274.5,95890.0,1332.0,94110.0,0.0,53.75,385.1,0.326
274.7,98710.0,1201.0,96810.0,0.0,43.93,652.1,0.248
274.9,98280.0,1069.0,96120.0,0.0,48.41,1042.0,0.177
275.1,94700.0,942.1,92120.0,0.0,64.8,1570.0,0.118
275.3,88410.0,826.4,85260.0,0.0,92.27,2228.0,0.075
275.5,80060.0,724.4,76230.0,0.0,131.1,2980.0,0.044
275.7,70450.0,636.6,65880.0,0.0,181.9,3756.0,0.025
275.9,60360.0,562.2,55090.0,0.0,245.0,4462.0,0.013
276.1,50460.0,499.4,44640.0,0.0,319.7,5001.0,0.006
276.3,41300.0,446.7,35160.0,0.0,403.5,5289.0,0.003
276.5,33220.0,402.9,27040.0,0.0,490.9,5287.0,0.001
276.8,23450.0,354.3,17710.0,0.0,611.1,4773.0,0.0
277.0,18510.0,335.6,13320.0,0.0,669.6,4188.0,0.0
277.2,14680.0,330.6,10140.0,0.0,700.2,3517.0,0.001
277.4,11810.0,341.5,7922.0,0.0,697.5,2848.0,0.001
277.6,9693.0,369.0,6416.0,0.0,661.2,2247.0,0.002
277.8,8150.0,411.5,5395.0,0.0,596.8,1747.0,0.004
278.0,7006.0,463.9,4677.0,,513.8,1352.0,0.008
278.2,6120.0,518.4,4129.0,,424.1,1049.0,0.014
278.4,5382.0,565.8,3660.0,,338.4,818.1,0.023
278.6,4723.0,596.9,3219.0,,265.0,642.6,0.035
278.8,4111.0,605.9,2786.0,0.0,208.3,511.5,0.051
279.0,3542.0,591.3,2362.0,0.0,168.8,420.1,0.071
279.3,2800.0,535.2,1772.0,0.0,137.3,355.1,0.103
279.5,2405.0,487.7,1430.0,0.0,129.6,357.6,0.123
279.7,2103.0,443.9,1138.0,0.0,128.7,391.7,0.139
279.9,1891.0,411.6,897.5,0.0,132.5,449.5,0.147
280.1,1760.0,395.0,703.7,0.0,140.5,520.8,0.147
280.3,1692.0,393.6,550.5,0.0,153.4,594.4,0.139
280.5,1667.0,403.3,431.5,0.0,173.0,659.5,0.123
280.7,1670.0,418.1,342.0,0.0,201.6,708.1,0.103
280.9,1688.0,431.6,279.5,0.0,240.8,736.0,0.082
281.1,1719.0,439.3,243.9,0.0,291.7,743.8,0.061
281.3,1768.0,438.7,237.2,0.0,354.4,737.2,0.043
281.5,1848.0,430.2,263.7,0.0,428.9,725.3,0.028
281.8,2067.0,407.9,377.2,0.0,562.2,719.7,0.014
282.0,2300.0,391.3,509.7,0.0,664.5,735.0,0.008
282.2,2609.0,376.4,690.5,0.0,775.0,766.6,0.004
282.4,2978.0,364.6,917.2,0.0,888.0,808.0,0.002
282.6,3379.0,356.0,1181.0,0.0,994.7,846.9,0.001
282.8,3768.0,349.9,1466.0,0.0,1083.0,869.2,0.0
283.0,4100.0,345.0,1752.0,0.0,1140.0,862.6,0.0
283.2,4332.0,340.4,2016.0,0.0,1155.0,820.8,0.0
283.4,4440.0,335.5,2236.0,0.0,1122.0,745.1,0.0
283.6,4415.0,330.1,2396.0,0.0,1045.0,644.3,0.0
283.8,4272.0,324.1,2485.0,0.0,930.3,532.0,0.0
284.1,3899.0,313.1,2493.0,0.0,719.0,374.1,0.0
